time,latitude,longitude,depth,mag,region
2006-08-17T03:45:22.750Z,38.815,141.472,99.6,4.3,31 km ESE of Ichinoseki  Japan
2006-08-18T18:20:11.700Z,41.7,142.292,75.3,4,70 km S of Shizunai-furukawach?  Japan
2006-08-19T11:43:26.780Z,35.681,140.733,47.8,4,8 km ESE of Asahi  Japan
2006-08-20T01:58:19.510Z,39.667,143.542,36.4,5.1,137 km E of Miyako  Japan
2006-08-23T01:33:32.490Z,36.191,141.972,62,3.5,114 km ENE of Hasaki  Japan
2006-08-24T11:33:02.730Z,41.036,142.046,69.5,4.1,67 km NE of Misawa  Japan
2006-08-26T21:04:10.230Z,40.796,141.799,101.7,4.2,36 km ENE of Misawa  Japan
2006-08-27T18:02:54.200Z,35.778,141.773,5.6,4.1,85 km E of Hasaki  Japan
2006-08-27T18:20:42.200Z,35.879,141.685,12.6,4.3,78 km ENE of Hasaki  Japan
2006-08-27T22:49:41.740Z,37.122,138.831,16.8,3.9,5 km ESE of T?kamachi  Japan
2006-08-28T07:45:05.620Z,36.106,141.208,32.7,4.3,53 km ENE of Kashima-shi  Japan
2006-08-29T10:55:22.830Z,40.255,142.495,34.4,4,82 km NE of Miyako  Japan
2006-08-29T23:38:02.050Z,34.07,141.42,40.2,4.1,156 km SE of Katsuura  Japan
2006-08-30T04:47:11.170Z,39.72,143.52,58.9,3.9,135 km E of Miyako  Japan
2006-08-31T08:18:21.480Z,35.527,139.882,90.5,4.8,14 km E of Kawasaki  Japan
2006-08-31T09:23:59.300Z,42.651,142.99,101.4,3.5,34 km SSW of Obihiro  Japan
2006-09-01T12:17:10.690Z,34.453,141.363,45,4.9,122 km SE of Katsuura  Japan
2006-09-01T18:40:22.280Z,42.423,141.89,143.5,3.8,33 km SE of Tomakomai  Japan
2006-09-04T22:09:33.250Z,39.08,142.321,41.2,4.2,44 km ESE of Kamaishi  Japan
2006-09-04T23:43:42.420Z,39.092,142.849,35,4.1,87 km ESE of Kamaishi  Japan
2006-09-05T22:42:28.140Z,36.759,142.141,35,3.8,116 km ESE of Iwaki  Japan
2006-09-06T18:06:33.630Z,35.48,140.837,49.7,5.1,28 km S of Hasaki  Japan
2006-09-07T01:57:39.790Z,35.591,140.134,66,4.8,1 km ESE of Chiba  Japan
2006-09-07T03:45:45.740Z,35.091,140.904,47.7,4.2,49 km ESE of ?hara  Japan
2006-09-07T12:58:36.060Z,42.456,140.569,153.7,4.3,24 km W of Date  Japan
2006-09-07T22:50:50.810Z,35.656,140.011,86.4,4.3,5 km SSE of Honch?  Japan
2006-09-08T16:48:16.770Z,42.035,142.476,77,4.1,34 km SSE of Shizunai-furukawach?  Japan
2006-09-09T10:36:03.920Z,38.297,142.018,66.3,4.6,64 km ESE of Ishinomaki  Japan
2006-09-10T10:43:34.910Z,39.625,143.683,17,4,149 km E of Miyako  Japan
2006-09-10T10:58:14.690Z,36.107,141.224,48.5,3.9,near the east coast of Honshu  Japan
2006-09-10T20:53:42.780Z,38.946,144.218,35,3.9,204 km ESE of Yamada  Japan
2006-09-10T21:41:23.380Z,39.119,142.871,92.1,4.4,88 km ESE of ?tsuchi  Japan
2006-09-12T19:31:25.110Z,36.51,141.13,61.5,4,43 km ESE of Takahagi  Japan
2006-09-13T15:06:46.050Z,35.969,141.503,2.8,4.2,65 km ENE of Hasaki  Japan
2006-09-14T03:32:09.600Z,40.047,141.352,83.4,3.5,19 km SSE of Ichinohe  Japan
2006-09-14T06:02:31.690Z,41.881,142.215,65,4.4,51 km SSW of Shizunai-furukawach?  Japan
2006-09-14T14:56:17.860Z,42.237,143.109,72.3,4.2,62 km E of Shizunai-furukawach?  Japan
2006-09-14T22:52:22.940Z,42.202,142.758,35,3.9,35 km ESE of Shizunai-furukawach?  Japan
2006-09-17T04:45:22.320Z,38.228,144.926,28.3,4.6,290 km ESE of Kamaishi  Japan
2006-09-20T01:20:06.800Z,41.845,141.322,137.6,4,49 km E of Hakodate  Japan
2006-09-21T17:31:59.310Z,36.413,141.475,15.3,4.3,75 km ESE of Takahagi  Japan
2006-09-22T12:59:47.460Z,42.136,142.155,10,3.5,28 km SW of Shizunai-furukawach?  Japan
2006-09-22T13:52:28.430Z,42.656,142.091,127.4,4.1,40 km E of Tomakomai  Japan
2006-09-22T21:33:30.060Z,36.444,141.543,37.2,4.3,79 km ESE of Takahagi  Japan
2006-09-26T05:24:29.350Z,38.235,144.667,56,4.3,269 km ESE of Kamaishi  Japan
2006-09-27T07:32:40.830Z,40.794,139.582,185.7,3.1,66 km W of Shimokizukuri  Japan
2006-09-29T02:26:10.050Z,37.817,140.467,136.5,3.9,7 km W of Hobaramachi  Japan
2006-10-01T10:07:34.340Z,40.991,141.503,79.2,3.7,35 km NNE of Misawa  Japan
2006-10-01T17:07:24.990Z,38.508,142.721,67.9,5.1,107 km SE of ?funato  Japan
2006-10-01T18:47:37.430Z,41.765,144.261,31.6,4.2,134 km S of Kushiro  Japan
2006-10-04T00:37:48.980Z,38.138,144.977,34.5,4.2,298 km ESE of Kamaishi  Japan
2006-10-05T16:48:11.690Z,41.289,141.565,35,4.2,29 km E of Mutsu  Japan
2006-10-10T23:58:04.000Z,37.197,142.664,9,6,150 km ESE of Namie  Japan
2006-10-12T03:23:10.940Z,40.963,142.125,78.9,4.1,69 km ENE of Misawa  Japan
2006-10-12T16:17:41.800Z,41.695,142.169,80.1,3.9,72 km SSW of Shizunai-furukawach?  Japan
2006-10-12T23:11:41.320Z,42.361,143.113,59.6,4.3,Hokkaido  Japan region
2006-10-13T01:18:46.660Z,37.346,142.828,10,4.9,162 km E of Namie  Japan
2006-10-13T21:38:02.600Z,34.814,140.134,63.7,4.9,30 km SE of Tateyama  Japan
2006-10-14T11:35:42.000Z,36.876,141.661,53,3.8,71 km ESE of Iwaki  Japan
2006-10-14T11:37:27.770Z,36.881,141.661,50.5,4.3,71 km ESE of Iwaki  Japan
2006-10-14T11:43:42.480Z,36.887,141.668,51.1,3.8,72 km ESE of Iwaki  Japan
2006-10-15T10:58:36.740Z,35.988,140.081,62.6,3.5,5 km WNW of Ushiku  Japan
2006-10-16T02:51:23.510Z,41.021,142.411,34.7,4.3,93 km ENE of Misawa  Japan
2006-10-16T23:15:22.560Z,37.247,143.081,32.4,4,186 km E of Namie  Japan
2006-10-17T15:58:52.970Z,41.067,143.366,30.4,4.4,163 km SSE of Shizunai-furukawach?  Japan
2006-10-17T19:19:10.670Z,37.514,142.86,24.6,4.8,off the east coast of Honshu  Japan
2006-10-17T22:53:25.640Z,35.742,140.021,47.1,4.2,5 km NE of Honch?  Japan
2006-10-19T08:34:01.870Z,39.075,143.69,11.2,4.2,156 km ESE of Yamada  Japan
2006-10-23T00:58:15.350Z,40.19,142.328,48.2,4.2,68 km NNE of Miyako  Japan
2006-10-24T07:42:38.950Z,40.606,143.444,29.6,4.3,165 km E of Hachinohe  Japan
2006-10-24T23:59:34.900Z,42.408,141.379,137.1,4.4,15 km S of Shiraoi  Japan
2006-10-25T22:57:58.960Z,36.999,141.493,42,4.2,54 km E of Iwaki  Japan
2006-10-26T08:46:08.840Z,37.71,141.806,39.1,3.9,75 km ENE of Namie  Japan
2006-10-27T08:37:51.110Z,35.083,140.21,61.1,4.1,10 km E of Kamogawa  Japan
2006-10-27T22:37:32.620Z,35.184,141.94,59.2,3.4,117 km ESE of Hasaki  Japan
2006-10-28T06:47:21.370Z,40.908,142.13,50.3,3.7,67 km ENE of Misawa  Japan
